Item,Spawn Chance,Min Value (c),Max Value (c),Average Value (c),Weight (lb),Conductive,Two Handed
Easter egg,8.52%,22,52,37,3,No,No
Egg beater,6.0%,12,44,28,11,Yes,No
Hair brush,5.52%,8,36,22,11,No,No
Chemical jug,4.92%,32,84,58,32,No,Yes
V-type engine,4.8%,20,56,38,16,Yes,Yes
Cookie mold pan,4.8%,12,40,26,16,No,No
Stop sign,4.8%,20,52,36,24,Yes,No
Brass bell,4.44%,48,80,64,24,Yes,No
Plastic fish,3.84%,28,40,34,0,No,No
Tea kettle,3.84%,32,56,44,21,Yes,No
Big bolt,3.72%,20,32,26,19,Yes,No
Large axle,3.6%,36,56,46,16,Yes,Yes
Flask,3.6%,16,44,30,19,Yes,No
Rubber Ducky,3.0%,2,100,51,0,No,No
Bottles,2.88%,44,56,50,19,No,Yes
Remote,2.88%,20,48,34,0,No,No
Gift Box,2.76%,12,28,20,19,No,No
Magnifying glass,2.52%,44,60,52,11,No,No
DIY-Flashbang,2.52%,10,28,19,5,No,No
Jar of pickles,2.4%,32,60,46,16,No,No
Whoopie-Cushion,2.4%,6,36,21,0,No,No
Toy cube,2.04%,24,44,34,0,No,No
Tattered metal sheet,1.92%,10,22,16,26,Yes,No
Yield sign,1.92%,18,36,27,42,Yes,No
Airhorn,1.56%,52,72,62,0,No,No
Coffee mug,1.44%,24,68,46,5,No,No
Red soda,1.44%,18,90,54,7,Yes,No
Steering wheel,1.44%,16,32,24,16,No,No
Robot toy,1.08%,56,88,72,21,Yes,No
Clown horn,1.08%,52,72,62,0,Yes,No
Laser pointer,0.96%,32,100,66,0,No,No
Cash register,0.84%,80,160,120,84,Yes,Yes
Old phone,0.48%,48,64,56,5,No,No
