Item,Spawn Chance,Min Value (c),Max Value (c),Average Value (c),Weight (lb),Conductive,Two Handed
Big bolt,8.91%,20,32,26,19,Yes,No
Bottles,8.01%,44,56,50,19,No,Yes
Cookie mold pan,7.4%,12,40,26,16,No,No
V-type engine,6.04%,20,56,38,16,Yes,Yes
Stop sign,5.14%,20,52,36,21,Yes,No
Egg beater,5.14%,12,44,28,11,Yes,No
Tea kettle,4.83%,32,56,44,21,Yes,No
Large axle,4.53%,36,56,46,16,Yes,Yes
Brass bell,4.23%,48,80,64,24,Yes,No
Hair brush,3.93%,8,36,22,11,No,No
Toy cube,3.63%,24,44,34,0,No,No
Tattered metal sheet,3.47%,10,22,16,26,Yes,No
Magnifying glass,3.17%,44,60,52,11,No,No
Jar of pickles,3.02%,32,60,46,16,No,No
Gift Box,3.02%,12,28,20,19,No,No
Yield sign,2.57%,18,36,27,42,Yes,No
DIY-Flashbang,2.11%,10,28,19,5,No,No
Remote,1.96%,20,48,34,0,No,No
Coffee mug,1.81%,24,68,46,5,No,No
Red soda,1.81%,18,90,54,7,Yes,No
Steering wheel,1.81%,16,32,24,16,No,No
Flask,1.81%,16,44,30,19,Yes,No
Whoopie-Cushion,1.66%,6,20,13,0,Yes,No
Plastic fish,1.51%,28,40,34,0,No,No
Clown horn,1.51%,52,72,62,0,Yes,No
Airhorn,1.51%,52,72,62,0,No,No
Laser pointer,1.21%,32,100,66,0,No,No
Old phone,1.06%,48,64,56,5,No,No
Robot toy,0.91%,56,88,72,21,Yes,No
Comedy,0.76%,28,52,40,11,No,No
Hairdryer,0.6%,60,100,80,7,No,No
Cash register,0.45%,80,160,120,84,Yes,Yes
