Item,Spawn Chance,Min Value (c),Max Value (c),Average Value (c),Weight (lb),Conductive,Two Handed
Tattered Metal Sheet,12.61%,10,22,16,26,Yes,No
Easter Egg,11.6%,22,52,37,3,No,No
Large Axle,10.21%,36,56,46,16,Yes,Yes
V-type Engine,10.09%,20,56,38,16,Yes,Yes
Big Bolt,8.32%,20,32,26,19,Yes,No
Bottles,6.56%,44,56,50,19,No,Yes
Cookie Mold Pan,6.56%,12,40,26,16,No,No
Robot Toy,5.42%,56,88,72,21,Yes,No
Plastic Fish,3.53%,28,40,34,0,No,No
Remote,3.53%,20,48,34,0,No,No
Stop Sign,3.53%,20,52,36,21,Yes,No
Airhorn,2.9%,52,72,62,0,No,No
Tea Kettle,2.9%,32,56,44,21,Yes,No
Clown Horn,2.27%,52,72,62,0,Yes,No
Gift Box,2.14%,12,28,20,19,No,No
Toy Cube,1.64%,24,44,32,0,No,No
DIY-Flashbang,1.51%,10,28,19,5,No,No
Yield Sign,1.51%,18,36,27,42,Yes,No
Old Phone,1.01%,48,64,56,5,No,No
Laser Pointer,0.76%,32,100,66,0,No,No
Magnifying Glass,0.76%,44,60,52,11,No,No
Teeth,0.63%,60,84,72,0,No,No
